000001,aaa,aa,,aaa,646-4864864-64364,gadfgg,雑誌、新聞,感想,afaefwfgegefwrthryjt
000002,aaa,aa,,aaa,646-4864864-64364,gadfgg,雑誌、新聞,感想,afaefwfgegefwrthryjt
000003,aaa,aa,,aaa,646-4864864-64364,gadfgg,雑誌、新聞,感想,afaefwfgegefwrthryjt
000004,aaa,aa,,aaa,646-4864864-64364,gadfgg,雑誌、新聞,感想,afaefwfgegefwrthryjt
000005,aaa,aa,,aaa,646-4864864-64364,gadfgg,雑誌、新聞,感想,afaefwfgegefwrthryjt
000006,aaa,aa,,aaa,646-4864864-64364,gadfgg,雑誌、新聞,感想,afaefwfgegefwrthryjt
000007,aaaaa,aaaaa,,aaaaaa,834-54348-48483,grsfe,特になし,,
000008,aaaaa,aaaaa,,aaaaaa,834-54348-48483,grsfe,特になし,,
000009,aaaaa,aaaaa,,aaaaaa,834-54348-48483,grsfe,特になし,,
000010,aaaaa,aaaaa,,aaaaaa,834-54348-48483,grsfe,特になし,,
000011,aaaaa,aaaaa,,aaaaaa,834-54348-48483,grsfe,特になし,,
000012,aaaaa,aaaaa,,aaaaaa,834-54348-48483,grsfe,特になし,,
000013,afsdfa,sfas,,adfsdf,54-348548-348,afadsfa,特になし,ご意見・お問い合わせ,fasdfasdfsf
000014,fadfa,afsefawe,不明,faefefas,48643-433-272,vdfavsd,特になし,ご意見・お問い合わせ,afdgaertsn
